Name| 1butanol| 2-butanol| 2methylpropan1ol| 2propanol| acetate| AdditionalGrowthRequierments| author| butanol| carbonMonoxide| cellShape| creator| creatorMail| cyclopentanol| descriptionEnv| dimethylamin| dimethylSulfide| ethanol| formate| gramReaction| GrowthDoublingTime| GrowthRate| h2Andco2| h2andmethanol| intestinalTracksEnv| link| maximalGrowthTemperature| maximumcellGcContent| maximumcellLength| maximumcellWidth| maximumGrowthNACL| maximumGrowthPH| methanol| methylamin| minimalGrowthTemperature| minimumcellGcContent| minimumcellLength| minimumcellWidth| minimumGrowthNACL| minimumGrowthPH| MinimumGrowthRequierments| nomenclaturalPublication| numberPublications| optimalGrowthNACLMaximal| optimalGrowthNACLMinimal| optimalGrowthPHMaximal| optimalGrowthPHMinimal| optimalGrowthTemperatureMaximal| optimalGrowthTemperatureMinimal| otherATTCStrainNumbers| otherCollections| otherDSMStrainNumbers| otherEnv| otherSubstrate| pmidPublication| propanol| propionate| reactorsEnv| soilEnv| trimethylamin| typeStrain| volcanicEnv| waterEnv| 
Methanobacterium ivanovii| no data| no data| no data| do not feed on| no data| no data| M. Jain et al.; 1987; Syst. Appl. Microbiol.; vol. 9; p. 77 | no data| no data| Rod| not determined| yes| no data| Sample from rock core.| no data| no data| no data| do not feed on| not determined| no data| no data| feeds| not determined| not applicable| http://www.sciencedirect.com/science/article/pii/S0723202087800590| 55| unavailable| 1.2| 0.8| no data| 8.5| not determined| no data| 15| 36.6| 1.2| 0.5| no data| 6.5| no data| no data| unavailable| 0.19| 0.19| 7.4| 7| 45| 45| ATCC BAA-930, OCM 140, VKM B-1634| ATCC BAA-930, OCM 140, VKM B-1634| DSM-2611| no data| no data| M. Jain et al.| no data| not determined| not applicable| not applicable| no data| Ivanov| not applicable| not applicable| 
Methanobacterium kanagiense| no data| no data| no data| no data| no data| no data| K. Kitamuraet al.; 2011; Int. J. Syst. Evol. Microbiol.; vol. 61; p. 1246| no data| no data| Rod| variable| yes| no data| Sample from a rice field plot at Kanagi Farm of the Teaching and Research Center for Bio-coexistence, University Farm, Faculty of Agriculture and Life Science, Hirosaki University.| no data| no data| no data| no data| variable| 22.3| 0.031| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/61/6/1246.abstract| 45| present| 5| 0.5| 1.2| 9.6| do not feed on| no data| 15| 39.3| 1.6| 0.35| 0| 6.5| no data| no data| no| 0.086| 0.086| 8.5| 7.5| 40| 40| JCM 15797| JCM 15797| DSM-22026| no data| no data|  K. Kitamuraet al.| no data| not determined| not applicable| yes| no data| 169| not applicable| not applicable| 
Methanobacterium lacus| no data| no data| do not feed on| do not feed on| do not feed on| no data| G. Borrel et al.; 2012; Int. J. Syst. Evol. Microbiol.; vol. 62; p. 1625| no data| no data| Rod| negative| yes| no data| Sample isolated from the profundal sediment of the meromictic Lake Pavin, France.| no data| no data| no data| do not feed on| negative| 22| 0.032| feeds| feeds| not applicable| http://ijs.sgmjournals.org/content/62/Pt_7/1625.abstract| 41| not determined| 15| 0.4| 0.4| 8.5| not determined| do not feed on| 14| 37| 2| 0.2| 0| 5| no data| no data| no| 0.1| 0.1| 6.5| 6.5| 30| 30| JCM 17760| JCM 17760| DSM-24406| no data| no data| G. Borrel et al.| no data| feeds| not applicable| not applicable| no data| 17A1| not applicable| yes| 
Methanobacterium movens| no data| no data| do not feed on| do not feed on| do not feed on| no data| J. Zhu et al.; 2011; Int. J. Syst. Evol. Microbiol.; vol. 61; p. 2974| no data| no data| Rod| positiv| yes| no data| Sediment samples collected from Tuosu lake, Qaidam Basin.| no data| no data| do not feed on| do not feed on| positiv| 25.66| 0.027| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/61/12/2974.abstract| 50| present| 5| 0.5| 0.3| 9| do not feed on| no data| 10| 39.5| 2| 0.4| 0| 6| yeast extract| no data| yes| 0| 0| 9| 6| 38| 35| JCM 15415, CGMCC AS 1.5093| JCM 15415, CGMCC AS 1.5093| DSM-25945| no data| no data| J. Zhu et al.| no data| not determined| not applicable| not applicable| do not feed on| TS-2| not applicable| yes| 
Methanobacterium movilense| not determined| feeds| not determined| feeds| do not feed on| no data| J. Schirmack et al., 2014; Int. J. Syst. Evol. Microbiol.; vol. 64; p. 522| no data| do not feed on| Rod| negative| yes| not determined| Sample of sediment of the subsurface lake from Movile Cave, near the city of Mangalia, Romania.| feeds| feeds| do not feed on| feeds| negative| 79.2| 0.009| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/early/2013/10/09/ijs.0.057224-0.abstract| 44| not determined| 4| 0.7| 0.3| 9.9| do not feed on| do not feed on| 0| 33| 3.5| 0.6| 0.02| 6.2| no data| no data| no| 0.08| 0.08| 7.4| 7.4| 33| 33| JCM 18470| JCM 18470| DSM-26032| no data| no data| J. Schirmack et al.| not determined| not determined| not applicable| not applicable| feeds| MC-20| not applicable| yes| 
Methanobacterium oryzae| no data| no data| do not feed on| do not feed on| do not feed on| no data| C. Joulian et al.; 2000; Int. J. Syst. Evol. Microbiol.; vol. 50; p. 525| no data| no data| Rod| not determined| yes| no data| Sample from a rice field soil in the Philippines (Pila area, Luzon Province).| no data| no data| no data| feeds| not determined| no data| no data| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/50/2/525.abstract| 45| not determined| 10| 0.4| 0.427789185489| 9| not determined| no data| 15| 31| 3| 0.3| 0| 5.5| no data| no data| no| 0| 0| 7| 7| 40| 40| no data| no data| DSM-11106| no data| no data| C. Joulian et al.| no data| not determined| not applicable| yes| no data| FPi| not applicable| not applicable| 
Methanobacterium palustre| no data| not determined| no data| feeds| do not feed on| no data| G. Zellner et al.; 1988; Arch. Microbiol.; vol. 151; p. 1| no data| no data| Rod| positiv| yes| no data| Sample isolated from marshland of the Sippenauer Moor, Germany (48°53' N 11°57' E).| do not feed on| no data| no data| feeds| positiv| 18| 0.039| feeds| not determined| not applicable| http://link.springer.com/article/10.1007%2FBF00444660| 45| not determined| 5| 0.5| 0.308008213552| no data| not determined| do not feed on| 20| 34.3| 2.5| 0.5| 0| no data| no data| no data| no| no data| no data| 7| 7| 37| 33| OCM 238| OCM 238| DSM-3108| no data| no data| G. Zellner et al.| no data| not determined| not applicable| yes| do not feed on| F| not applicable| not applicable| 
Methanobacterium petrolearium| no data| no data| do not feed on| do not feed on| do not feed on| no data| K. Mori et al.; 2011; Int. J. Syst. Evol. Microbiol.; vol. 61; p. 138| no data| no data| Rod| variable| yes| do not feed on| Sample from sludge deposited in a crude oil storage tank in Japan.| no data| no data| do not feed on| do not feed on| variable| 39.5| 0.018| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/61/1/138.abstract| 40| not determined| 4.7| 0.3| 1.2| 9| do not feed on| do not feed on| 20| 38.3| 2.4| 0.3| 0| 5.5| acetate, yeast extract| no data| no| 0| 0| 6.5| 6.5| 35| 35| NBRC 105198| NBRC 105198| DSM-22353| 1| no data| K. Mori et al.| no data| not determined| not applicable| not applicable| no data| Mic5c12| not applicable| not applicable| 
Methanobacterium subterraneum| do not feed on| no data| do not feed on| no data| do not feed on| None| S. Kotelnikova et al.; 1998; Int. J. Syst. Evol. Microbiol.; vol. 48; p. 357| no data| no data| Rod| not determined| yes| no data| Sample of granitic rock groundwater from the Äspö hard rock laboratory tunnel, South-Eastern Sweden (depths 68 m, 409 m and 420 m).| no data| do not feed on| do not feed on| feeds| not determined| 3.89| 0.178| feeds| do not feed on| not applicable| http://ijs.sgmjournals.org/content/48/2/357.abstract| 40| not determined| 1.2| 0.15| 1.4| 9.2| do not feed on| no data| 3.5| 54.4| 0.6| 0.1| 0| 6.75| None| no data| no| 1.25| 0.2| 8.8| 7.8| 40| 20| ATCC 700657| ATCC 700657| DSM-11074| no data| not supporting: pyruvate, fructose, glucose, | S. Kotelnikova et al.| do not feed on| do not feed on| not applicable| not applicable| do not feed on| A8p| not applicable| yes| 
Methanobacterium thermaggregans| no data| no data| no data| no data| do not feed on| yeast extract| K. Blotevogel et al.; 1985; Arch. Microbiol.; vol. 142; p. 218| no data| no data| Rod| negative| yes| no data| Sample of cattle pasture mud. | do not feed on| do not feed on| do not feed on| do not feed on| negative| 3.5| 0.198| feeds| not determined| not applicable| http://link.springer.com/article/10.1007%2FBF00693393| 70| absent| 8| 0.4| 0.171115674196| 9.5| not determined| do not feed on| 50| 42| 4| 0.4| 0| 5.5| None| no data| no| 0| 0| 7.5| 7| 65| 65| ATCC 43168, OCM 141, VKM B-1959| ATCC 43168, OCM 141, VKM B-1959| DSM-3266| no data| no data| K. Blotevogel et al.| no data| not determined| not applicable| yes| do not feed on| DSM3266| not applicable| not applicable| 
Methanobacterium uliginosum| no data| no data| no data| no data| no data| yeast extract| H. Konig; 1987; Can. J. Microbiol.; vol. 30; p. 1477| no data| no data| Rod| not determined| yes| no data| Sample of a marshy soil.| no data| no data| no data| no data| not determined| no data| no data| feeds| not determined| not applicable| http://www.nrcresearchpress.com/doi/abs/10.1139/m84-235#.VBAi9WM1N3k| 45| unavailable| 4| 0.6| no data| 8.5| not determined| no data| 15| 33.8| 2| 0.2| 0| 6| no data| no data| unavailable| no data| no data| 8| 6| 40| 40| ATCC 35997, NBRC 105232, OCM 176| ATCC 35997, NBRC 105232, OCM 176| DSM-2956| no data| no data| H. Konig| no data| not determined| not applicable| yes| no data| P2St| not applicable| not applicable| 
Methanobacterium veterum| no data| no data| do not feed on| do not feed on| do not feed on| acetate| K. Krivushin et al.; 2010; Int. J. Syst. Evol. Microbiol.; vol. 60; p. 455| no data| no data| Rod| negative| yes| no data| Samples selected from deep (28 m beneath surface) late Pliocene permafrost 26 (Kolyma lowland, 70°06’N, 154° 04’E).| no data| no data| do not feed on| do not feed on| negative| 23.1| 0.03| feeds| feeds| not applicable| http://ijs.sgmjournals.org/content/60/2/455.abstract| 46| not determined| 8| 0.45| 0.3| 9.4| not determined| do not feed on| 10| 33.8| 2| 0.4| 0| 5.2| no data| E. Rivkina et al.; 2007; FEMS microbiology ecology; vol. 61; p.1| no| 0.05| 0.05| 7.2| 7| 28| 28| VKM B-2440| VKM B-2440| DSM-19849| no data| no data| K. Krivushin et al.| no data| feeds| not applicable| yes| do not feed on| MK4| not applicable| not applicable| 
Methanobrevibacter acididurans| no data| do not feed on| no data| do not feed on| do not feed on| no data| D. Savant et al.; 2002; Int. J. Syst. Evol. Microbiol.; vol. 52; p. 1081| do not feed on| no data| Cocci| positive| yes| no data| Laboratory anaerobic reactor treating distilary wastewater seeded with sludge from filed digester.| no data| no data| no data| do not feed on| positive| 16.5| 0.042| feeds| not determined| not applicable| http://ijs.sgmjournals.org/content/52/4/1081.abstract| 37| not determined| 0.5| 0.5| no data| 7.5| do not feed on| no data| 25| no data| 0.3| 0.3| no data| 5| rumen fluid, acetate, aminoacids| no data| no| no data| no data| 6| 6| 35| 35| MCM B 613, OCM 804| no data| DSM-15163| no data| no data| D. Savant et al.| no data| not determined| not applicable| not applicable| do not feed on| ATM| not applicable| not applicable| 
Methanobrevibacter arboriphilus| no data| no data| no data| no data| do not feed on| generally organic compounds| J. Zeikus et al.; 1975; Antonie Van Leeuwenhoek; vol. 41; p. 543| no data| no data| Rod| positive| yes| no data| Samples of a wetwood cores from Wisconsin, and western cottonwood trees located on the banks of Cottonwood Creek in Grand Teton National Park in Wyoming.| no data| no data| do not feed on| do not feed on| positive| 13| 0.053| feeds| not determined| not applicable| http://link.springer.com/article/10.1007/BF02565096| 45| not determined| 2.7| 0.6| no data| no data| do not feed on| no data| 10| 27.5| 2.7| 0.6| no data| no data| Vitamins| no data| no| no data| no data| 8| 7.5| 37| 30| ATCC 33747, ATCC 29097, JCM 13429, OCM 147| no data| DSM-1125| 1| no data| J. Zeikus et al.| no data| not determined| not applicable| not applicable| no data| DH1| not applicable| not applicable| 
Methanobrevibacter boviskoreani| not determined| not determined| not determined| not determined| not determined| no data| J. Lee et al.; 2013; Int. J. Syst. Evol. Microbiol.; vol. 63; p. 4196| no data| not determined| Rod| positive| yes| not determined| Sample from rumen of the Korean native cattle (HanWoo; Bos taurus coreanae) in South Korea.| not determined| not determined| not determined| feeds| positive| no data| no data| feeds| not determined| yes| http://ijs.sgmjournals.org/content/63/Pt_11/4196.abstract| no data| unavailable| 1.8| 0.6| no data| no data| not determined| not determined| no data| 28| 1.5| 0.6| no data| no data| no data| no data| no| no data| no data| 7| 6.5| 40| 37| JCM 18376, KCTC 4102, | JCM 18376, KCTC 4102, | DSM-25824| no data| no data| J. Lee et al.| not determined| not determined| not applicable| not applicable| not determined| JH1| not applicable| not applicable| 
Methanobrevibacter curvatus| no data| no data| no data| do not feed on| do not feed on| no data| J. Leadbetter et al.; 1996; Appl. Environ. Microbiol.; vol. 62; p. 3620| no data| do not feed on| Rod| positive| yes| no data| Hindgut contents of the termite Reticulitermes flavipes.| do not feed on| no data| do not feed on| do not feed on| positive| 40| 0.017| feeds| do not feed on| yes| http://aem.asm.org/content/62/10/3620.abstract| 30| not determined| 1.6| 0.34| no data| 8.5| do not feed on| no data| 20| no data| 1.6| 0.34| no data| 6.5| Casamino acids, yeast extract, rumen fluid| no data| no| no data| no data| 7.1| 7.1| 30| 30| no data| no data| DSM-11111| no data| not supporting:theobromine, theophyline, trimethoxybenzoate, lactate, pyruvate, glucose| J. Leadbetter et al.| no data| do not feed on| not applicable| not applicable| do not feed on| RFM-2| not applicable| not applicable| 
Methanobrevibacter cuticularis| no data| no data| no data| do not feed on| do not feed on| no data| J. Leadbetter et al.; 1996; Appl. Environ. Microbiol.; vol. 62; p. 3620| no data| do not feed on| Rod| positive| yes| no data| Hindgut contents of the termite Reticulitermes flavipes (Kollar) (Rhinotermitidae).| do not feed on| no data| do not feed on| feeds| positive| 35| 0.02| feeds| do not feed on| yes| http://aem.asm.org/content/62/10/3620.abstract| 37| not determined| 1.2| 0.4| no data| 8.5| do not feed on| no data| 10| no data| 1.2| 0.4| no data| 6.5| Rumen fluid, nutrient broth| no data| no| no data| no data| 7.7| 7.7| 37| 37| no data| no data| DSM-11139| no data| not supporting:theobromine, theophyline, trimethoxybenzoate, lactate, pyruvate, glucose| J. Leadbetter et al.| no data| do not feed on| not applicable| not applicable| do not feed on| RFM-1| not applicable| not applicable| 
Methanobrevibacter filiformis| no data| no data| no data| do not feed on| do not feed on| no data| J. Leadbetter et al.; 1998; Arch. Microbiol.; vol. 169; p. 287| no data| do not feed on| Rod| positive| yes| no data| Hindgut contents of the termite Reticulitermes flavipes.| do not feed on| no data| do not feed on| do not feed on| positive| 37| 0.019| feeds| do not feed on| yes| http://link.springer.com/article/10.1007%2Fs002030050574| 33.5| not determined| 4| 0.23| no data| 7.5| do not feed on| no data| 10| no data| 4| 0.23| no data| 6| yeast extract| no data| no| no data| no data| 7.2| 7| 30| 30| no data| no data| DSM-11501| no data| not supporting:theobromine, theophyline, trimethoxybenzoate, lactate, pyruvate, glucose| J. Leadbetter et al.| no data| do not feed on| not applicable| not applicable| do not feed on| RFM-3| not applicable| not applicable| 
Methanobrevibacter gottschalkii| no data| no data| no data| no data| do not feed on| no data| T. Miller et al.; 2002; Int. J. Syst. Evol. Microbiol.; vol. 52; p. 819| no data| no data| Coccobacillus| positive| yes| no data| Sample of horse feaces.| no data| no data| no data| do not feed on| positive| no data| no data| feeds| do not feed on| yes| http://ijs.sgmjournals.org/content/52/3/819.abstract| no data| not determined| 0.9| 0.7| 0.427789185489| no data| do not feed on| no data| no data| 29| 0.9| 0.7| 0| no data| acetate, yeast extract, trypticase| no data| nd| no data| no data| 7| 7| 37| 37| ATCC BAA-1169, OCM 813| no data| DSM-11977| no data| no data| T. Miller et al.| no data| do not feed on| not applicable| not applicable| do not feed on| HO| not applicable| not applicable| 
Methanobrevibacter millerae| no data| do not feed on| no data| do not feed on| do not feed on| no data| S. Rea et al.; 2007; Int. J. Syst. Evol. Microbiol.; vol. 57; p. 450| do not feed on| no data| Coccobacillus| positive| yes| no data| Sample of bowine rumen contents.| no data| no data| do not feed on| feeds| positive| no data| no data| feeds| not determined| yes| http://ijs.sgmjournals.org/content/57/3/450.abstract| 43| not determined| 1.2| 0.5| 0.444900752909| 10| do not feed on| do not feed on| 33| 32| 0.5| 0.5| 0| 5.5| acetate, yeast extract, trypticase| no data| no| no data| no data| 8| 7| 42| 36| OCM 820| no data| DSM-16643| no data| no data| S. Rea et al.| no data| not determined| not applicable| not applicable| do not feed on| ZA-10| not applicable| not applicable| 
Methanobrevibacter olleyae| no data| do not feed on| no data| do not feed on| do not feed on| no data| S. Rea et al.; 2007; Int. J. Syst. Evol. Microbiol.; vol. 57; p. 450| do not feed on| no data| Coccobacillus| positive| yes| no data| Sample of sheep rumen contents.| no data| no data| do not feed on| feeds| positive| no data| no data| feeds| not determined| yes| http://ijs.sgmjournals.org/content/57/3/450.abstract| 42| not determined| 1| 0.3| 0.444900752909| 10| do not feed on| do not feed on| 28| 28| 0.3| 0.3| 0| 6| acetate, yeast extract, trypticase, coenzyme M, branched-chain| no data| no| no data| no data| 7.5| 7.5| 42| 28| OCM 841| no data| DSM-16632| no data| no data| S. Rea et al.| no data| not determined| not applicable| not applicable| do not feed on| KM1H5-1P| not applicable| not applicable| 
Methanobrevibacter oralis| no data| no data| no data| no data| do not feed on| no data| A. Ferrari et al.; 1994; Curr. Microbiol.; vol. 29; p. 7| no data| no data| Rod| positive| yes| no data| Subgingival samples from ten healthy volontiers (Italy).| no data| no data| no data| do not feed on| positive| 15| 0.046| feeds| do not feed on| yes| http://link.springer.com/article/10.1007%2FBF01570184| 39| absent| 1.2| 0.5| 0.2| 8| do not feed on| no data| 25| 28| 0.7| 0.4| 0| 6.2| MB medium| no data| no| 0.1| 0.01| 7.4| 6.9| 37| 35| no data| no data| DSM-7256| no data| no data| A. Ferrari et al.| no data| do not feed on| not applicable| not applicable| no data| ZR| not applicable| not applicable| 
Methanobrevibacter ruminantium| no data| no data| no data| no data| no data| no data| H. Smith et al.; 1958; J. Bacteriol.; vol. 75; p. 713| no data| no data| Rod| not determined| yes| no data| Sample from bovine rumen.| no data| no data| no data| feeds| positive| no data| no data| feeds| not determined| yes| http://jb.asm.org/content/75/6/713.long| no data| not determined| 1.7| 0.7| no data| no data| not determined| no data| no data| 32.6| 0.8| 0.7| no data| no data| no data| no data| no| no data| no data| 6.8| 6.3| 33| 33| ATCC 35063, JCM 13430, OCM 146| no data| DSM-1093| no data| no data| H. Smith et al.| no data| not determined| not applicable| not applicable| no data| M1| not applicable| not applicable| 
